,Deaths,Years of Potential Life Lost Rate,% With Access to Exercise Opportunities,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Primary Care Physicians Rate,% With Annual Mammogram,High School Graduation Rate,Social Association Rate,Violent Crime Rate,Average Daily PM2.5,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,Life Expectancy,Child Mortality Rate,HIV Prevalence Rate,Drug Overdose Mortality Rate,% Uninsured,% Disconnected Youth,Average Reading Performance,Black/White Segregation Index,Suicide Rate (Age-Adjusted),Juvenile Arrest Rate,% less than 18 years of age,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Female,internet_ratio,Hypertension Death Rate,class
2599,0.0,0.0,0.4602991945,21.818181818000003,181.5,0.0,24.0,97.6,0.0,105.13667768,6.1,17.553191489,73.913043478,32.9,85.696994155,0.0,0.0,0.0,34.032811904,0.0,3.2274018294999998,0.0,0.0,0.0,21.188738269,1.9186652763,1.5224191866999999,0.2294056309,77.95620438,47.00729927,0.51,319.4,3
2600,1501.0,9083.446198,65.15575474,29.464285714000003,461.3,28.76257,38.0,93.7,11.824612238,365.20045447,10.4,17.316642593,81.32171312199999,42.0,76.103772953,67.42633672699999,134.8,12.392100212999999,21.996232144,10.189618847,2.7849320902,52.351984246,17.370178554000002,13.956043955999998,24.025576985,1.1866145731,1.6716238484000001,0.1792876167,16.990869804000003,50.67725120000001,0.63,304.3,0
2601,343.0,9201.4234081,84.063205418,39.130434783000005,388.3,32.748540000000006,34.0,94.6,15.438596490999998,482.77596178,7.1,11.88369153,83.64005871100001,20.4,75.84710542100001,58.677499436000005,102.3,15.604519069,23.77195836,0.0,2.7467096723,43.164571689,16.890451245,23.636363636,25.676950656,2.2077554486,0.6981790735,0.08491367109999999,24.035286348000003,49.698084725,0.73,332.9,0
2602,0.0,0.0,74.734208881,23.076923076999996,329.8,0.0,38.0,100.0,26.385224274000002,63.231109706000005,7.3,13.492063492,84.650455927,42.0,0.0,0.0,378.4,0.0,15.985997666,0.0,0.0,0.0,0.0,70.0,22.010512484,1.1826544020999998,0.2628120894,0.0,26.281208936,48.685939553000004,0.71,247.2,3
2603,149.0,9291.7780177,60.382574082,15.789473684,396.3,45.28986,29.0,96.4,11.322463767999999,218.72020638,8.6,12.234910277000001,86.82242990700001,39.5,75.513142926,0.0,161.8,0.0,28.239580960999998,0.0,2.7805090972000004,0.0,28.951174784000003,0.0,21.757322176,1.1421463304000001,0.5314938369,0.1130837951,17.256587131,43.593803008,0.64,510.6,0
2604,229.0,8575.9955553,50.046181172,27.272727273,270.2,6.75447,33.0,98.2,11.482607227,208.34733517,9.5,14.90803485,78.560395428,37.1,76.918312971,0.0,132.0,0.0,22.702702703000003,0.0,2.9457246908999997,41.783387714,19.162772827,20.0,25.440365739,0.8740083367,1.1362108377,0.047061987400000005,33.985478015,50.24875621899999,0.69,270.2,1
2605,631.0,10143.46523,37.94175301,7.5,368.4,39.368970000000004,35.0,95.0,11.810691488,339.83991012,9.5,8.7741393787,83.984526112,44.1,75.363310161,49.408550586000004,133.4,16.809704803,20.806848472000002,0.0,2.8251088431999998,59.808008805,17.216796368,11.428571429000002,24.004794825999998,0.7471008029,0.5324487065,0.0780553078,6.899531668200001,50.485057983999994,0.44,335.8,0
2606,0.0,0.0,47.822374038999996,0.0,175.4,43.85965,26.0,100.0,30.701754385999998,206.46937371,5.6,12.315270936,69.65517241399999,24.6,89.653007365,0.0,0.0,0.0,30.227272727,0.0,0.0,0.0,0.0,0.0,7.7264653641,1.2433392540000001,1.1101243339,0.0444049734,32.815275311,48.756660746,0.68,180.4,3
2607,3795.0,9534.5637641,65.082271983,20.0,629.3,56.57455,39.0,88.3,11.588028045,707.34664315,10.0,16.084807907000002,89.781623403,20.6,75.884206349,79.527426714,599.3,12.271876905,24.443320539000002,12.699722451,2.7479067532,50.850819321,13.779104657000001,21.043478261,23.992454931999998,1.0180352234,4.0148862161,0.0964702099,21.535993976,48.714710923,0.68,403.3,0
2608,63.0,8178.2090585,47.132075472,16.666666667,442.1,19.22338,25.0,95.7,0.0,76.643035064,8.1,14.779874214000001,76.59942363100001,37.3,77.03629629699999,0.0,122.8,0.0,25.055268976,0.0,2.3595789749000002,0.0,0.0,0.0,30.735518293000002,0.6288109756,0.5335365854,0.038109756099999996,92.759146341,48.666158537,0.61,300.3,1
